Errors,ID,Latitude,Longitude,Adresse,CP,Ville
Lat Long Vides,1200004,,,79 rue de la republique,01200,bellegarde
Marker Hors Zone,1200004,0,0,79 rue de la republique,01200,bellegarde
Lat Long Vides,2100014,,,60 bis rue de la fere,02100,saint quentin
Marker Hors Zone,2100014,0,0,60 bis rue de la fere,02100,saint quentin
Lat Long Vides,3100011,,,8 avenue albert thomas,03100,montlucon
Marker Hors Zone,3100011,0,0,8 avenue albert thomas,03100,montlucon
Lat Long Vides,4210001,,,6 rd manosque,04210,valensole
Marker Hors Zone,4210001,0,0,6 rd manosque,04210,valensole
Inversion Lat Long,5300001,583200,4430985,50 avenue de provence,05300,laragne-montéglin
Lat Long Vides,6000012,,,26 28 quai gallieni,06000,nice
Marker Hors Zone,6000012,0,0,26 28 quai gallieni,06000,nice
Inversion Lat Long,6190006,748069,4376394,175 avenue louis pasteur,06190,roquebrune-cap-martin
Inversion Lat Long,6220004,706204,4357988,d6007,06220,vallauris
Inversion Lat Long,6500001,752078.111179,4378406.96572,port de garavan,06500,menton
Inversion Lat Long,7300002,484009.467939,4505706.43467,route nationale 86 55 avenue de nimes,07300,tournon-sur-rhône
Lat Long Vides,10000017,,,40 avenue chomedey de maisonneuve,10000,troyes
Marker Hors Zone,10000017,0,0,40 avenue chomedey de maisonneuve,10000,troyes
Lat Long Vides,11400003,,,relais st.martin,11400,saint-martin-lalande
Marker Hors Zone,11400003,0,0,relais st.martin,11400,saint-martin-lalande
Lat Long Vides,11600005,,,rd 620 lieu dit la pièce,11600,villegly
Marker Hors Zone,11600005,0,0,rd 620 lieu dit la pièce,11600,villegly
Marker Hors Zone,13015012,0,0,20-22 route nationale de st antoine,13015,marseille
Inversion Lat Long,13100004,538311.801665,4348397.62842,rue claude-nicolas ledoux,13290,aix-en-provence
Marker Hors Zone,13200017,43.66639,4.6342,quartierue sud fourchon,13200,arles
Inversion Lat Long,13560004,508592.2721883,4374207.2780291,zac de la capelette,13560,sénas
Lat Long Vides,13800008,,,avenue félix gouin,13800,istres
Marker Hors Zone,13800008,0,0,avenue félix gouin,13800,istres
Lat Long Vides,15000015,,,guerguet route de sansac,15000,aurillac
Marker Hors Zone,15000015,0,0,guerguet route de sansac,15000,aurillac
Lat Long Vides,15500004,,,63 avenue du général de gaulle,15500,massiac
Marker Hors Zone,15500004,0,0,63 avenue du général de gaulle,15500,massiac
Inversion Lat Long,16000002,16981,4565600,53 avenue de lattre de tassigny,16000,angoulême
Inversion Lat Long,18230002,238103,4709990,65 route d'orleans,18230,saint-doulchard
Lat Long Vides,19350001,,,rue du mayne,19350,chabrignac
Marker Hors Zone,19350001,0,0,rue du mayne,19350,chabrignac
Inversion Lat Long,19510001,152039,4554068,a 20 aire de la poroute de correze,19510,masseret
Lat Long Vides,20137001,,,station st cyprien - lecci,20137,porto-vecchio
Marker Hors Zone,20137001,0,0,station st cyprien - lecci,20137,porto-vecchio
Inversion Lat Long,21240001,499869,4734406,route de troyes,21240,talant
Lat Long Vides,22350006,,,kergouet,22350,saint jouan de l'isle
Marker Hors Zone,22350006,0,0,kergouet,22350,saint jouan de l'isle
Inversion Lat Long,22650002,-213585,4858042,route de plancoet,22650,ploubalay
Inversion Lat Long,22960001,-275129.545,4844553.832,2 rue du challonge,22960,pledran
Lat Long Vides,25800003,,,5 route vernierue fontaine,25800,valdahon
Marker Hors Zone,25800003,0,0,5 route vernierue fontaine,25800,valdahon
Lat Long Vides,26140001,,,autoroute a 7,26140,saint-rambert-d'albon
Marker Hors Zone,26140001,0,0,autoroute a 7,26140,saint-rambert-d'albon
Inversion Lat Long,26780003,474530.22156893,4451918.2196207,rn.7,26780,chateauneuf du rhone
Inversion Lat Long,29000003,-408988,4800023,57 route de brest,29000,quimper
Lat Long Vides,29410004,,,pen arue valy - route nationale 12,29410,guiclan
